latitude,longitude,storeNumber,addressLocality,addressRegion,streetAddress,postalCode
46.8332079,-92.0725067,627056,Duluth,MN,W Oxford St,55803
46.8221732,-92.0740438,213613,Duluth,MN,1701 Woodland Ave,55803
46.7377786,-92.1665117,206199,Duluth,MN,309 N Central Ave,55807
46.8531175,-92.2814521,204852,Duluth,MN,5704 Miller Trunk Hwy,55811
44.836868,-93.130544,90087,Eagan,MN,3355 Mike Collins Dr,55121-2235
44.8191231,-93.2062621,85324,Eagan,MN,1975 Silver Bell Rd,55122-3167
44.8323848,-93.158608,86410,Eagan,MN,1266 Town Centre Dr,55123-1066
44.8529049,-93.4543789,88953,Eden Prairie,MN,13993 Anderson Lakes Pkwy,55344-6782
44.9122,-93.35436,59536,Edina,MN,5002 Vernon Ave S,55436-2103
44.8743971,-93.3619985,72974,Edina,MN,7082 Amundson Ave,55439-2016
45.311149,-93.55717,633622,Elk River,MN,594 Dodge Ave Nw,55330
45.32031,-93.5551149,648151,Elk River,MN,Carson St,55330
45.308059,-93.55582,37115,Elk River,MN,592 Dodge Ave Nw,55330-1919
44.891384,-93.582629,23195,Excelsior,MN,2407 Hwy 7,55331-9700
43.652165,-94.448599,645595,Fairmont,MN,1023 E Blue Earth Ave,56031
44.2946697,-93.2785193,50143,Faribault,MN,629 4th St Nw,55021-5034
44.6468201,-93.1565641,695564,Farmington,MN,Akin Rd,55024
44.68367,-93.17668,646265,Farmington,MN,18350 Pilot Knob Rd,55024
44.646746,-93.176938,769659,Farmington,MN,21198 Akin Rd,55024
44.684318,-93.176485,29134,Farmington,MN,18306 Pilot Knob Rd,55024-9168
46.2833289,-96.0778175,336924,Fergus Falls,MN,114 S Union Ave,56537
45.279741,-92.984787,36920,Forest Lake,MN,43 N Lake St,55025-2502
45.280621,-92.98492,39629,Forest Lake,MN,132 N Lake St,55025-2503
45.1050423,-93.264349,81302,Fridley,MN,7510 University Ave Ne,55432-2614
47.223843,-93.528601,622430,Grand Rapids,MN,802 S Pokegama Ave,55744
47.2211259,-93.5286979,344671,Grand Rapids,MN,1006 S Pokegama Ave,55744
45.249,-93.233224,32518,Ham Lake,MN,17565 Hwy 65,55304-2218
44.722374,-92.851274,42861,Hastings,MN,103 W 23rd St,55033-3579
47.422668,-92.924349,676078,Hibbing,MN,2517 E Beltline,55746
47.4213152,-92.9240164,357679,Hibbing,MN,2508 E Beltline,55746
44.9509636,-93.4183972,67168,Hopkins,MN,10904 Greenbrier Rd,55305-3474
44.924219,-93.418233,71436,Hopkins,MN,1430 Mainstreet,55343-7405
45.160366,-92.992943,26724,Hugo,MN,14531 Forest Blvd N,55038-8390
